Y	X
  7.4349634e+002  1.7547600e+002
  9.7574217e+002  1.8471800e+002
  1.0991549e+003  1.8502600e+002
  1.1282510e+003  1.8738600e+002
  1.0803425e+003  1.8290600e+002
  9.2860660e+002  1.5678300e+002
  7.5364107e+002  1.3900000e+002
  8.6535714e+002  1.8150000e+002
  1.0130620e+003  1.8526100e+002
  1.1032815e+003  1.8619300e+002
  1.0992068e+003  1.8597500e+002
  1.0785097e+003  1.8507700e+002
  9.6393799e+002  1.6045600e+002
  7.9844734e+002  1.4345000e+002
  9.0047314e+002  1.8139500e+002
  1.0293871e+003  1.8833600e+002
  1.1106362e+003  1.9048900e+002
  1.1022039e+003  1.8900400e+002
  1.0768343e+003  1.8910300e+002
  9.6023630e+002  1.6240900e+002
  7.6289333e+002  1.3868400e+002
  8.5429177e+002  1.7945900e+002
  1.0140631e+003  1.8800300e+002
  1.1078505e+003  1.9158100e+002
  1.1414299e+003  1.9472600e+002
  1.1043033e+003  1.8701900e+002
  9.3417916e+002  1.6042100e+002
  7.6672417e+002  1.4198200e+002
  8.8241939e+002  1.8725700e+002
  1.0475337e+003  1.9052700e+002
  1.1181946e+003  1.8947000e+002
  1.1047990e+003  1.8815700e+002
  1.0935745e+003  1.8844400e+002
  9.6003679e+002  1.6191400e+002
  7.8593433e+002  1.4120000e+002
  8.8430777e+002  1.8466700e+002
  1.0226204e+003  1.8939500e+002
  1.1148768e+003  1.9555400e+002
  1.1603194e+003  1.9669400e+002
  1.1188221e+003  1.9109300e+002
  9.4730316e+002  1.5991600e+002
  7.3555642e+002  1.3592100e+002
  8.3695389e+002  1.8220600e+002
  1.0374342e+003  1.9502100e+002
  1.1590478e+003  2.0020200e+002
  1.1991958e+003  2.0169700e+002
  1.1426057e+003  1.9737300e+002
  9.6706366e+002  1.6543400e+002
  7.5342987e+002  1.4232100e+002
  8.7320834e+002  1.9021300e+002
  1.0382883e+003  1.9713800e+002
  1.1103500e+003  1.9199300e+002
  1.1142721e+003  1.9019800e+002
  1.0391502e+003  1.8491600e+002
  8.8977433e+002  1.6034800e+002
  7.1164499e+002  1.3652900e+002
  8.2279613e+002  1.8262300e+002
  1.0093008e+003  1.8965700e+002
